FIRST NAME,LAST NAME,SEX,DESIGNATION,AGE,SALARY,UNIT,LEAVES USED,LEAVES REMAINING,RATINGS,PAST EXP,CURR DATE
TOMASA,ARMEN,F,Analyst,21,44570,Finance,24,6,2,0,01-07-2016
ANNIE,,F,Associate,,89207,Web,,13,,7,01-07-2016
OLIVE,ANCY,F,Analyst,21,40955,Finance,23,7,3,0,01-07-2016
CHERRY,AQUILAR,F,Analyst,22,45550,IT,22,8,3,0,01-07-2016
LEON,ABOULAHOUD,M,Analyst,,43161,Operations,27,3,,3,01-07-2016
VICTORIA,,F,Analyst,22,48736,Marketing,20,10,4,0,01-07-2016
ELLIOT,AGULAR,M,Analyst,22,40339,Marketing,19,11,5,0,01-07-2016
JACQUES,AKMAL,M,Analyst,,40058,Marketing,29,1,2,2,01-07-2016
KATHY,ALSOP,F,Senior Analyst,28,63478,Operations,20,10,3,1,01-07-2016
LILIAN,APELA,F,Analyst,22,43110,Finance,15,15,3,0,01-07-2016
BELLE,ARDS,F,Analyst,24,41590,Marketing,22,8,4,1,01-07-2016
VIRGIL,ACKIES,M,Senior Manager,36,160613,Finance,,11,2,9,01-07-2016
WELDON,AIVAO,M,Analyst,24,44828,Finance,15,15,5,1,01-07-2016
BOYD,AFTON,M,Analyst,21,45830,Web,23,7,2,0,01-07-2016
BART,AGUILLERA,M,Analyst,24,43457,Management,30,0,4,1,01-07-2016
CORINNE,ANDRZEJCZYK,F,Analyst,21,44812,IT,16,,5,0,01-07-2016
ALONZO,ADSIDE,M,Analyst,25,47636,Finance,27,3,3,2,01-07-2016
ROYCE,AGOSTO,M,Analyst,24,48651,Web,27,3,5,1,01-07-2016
BURTON,AGUILER,M,Analyst,23,40411,Management,21,9,3,0,01-07-2016
PHILLIP,ABDULA,M,Analyst,24,44665,Web,,12,5,0,01-07-2016
ORVILLE,ADNEY,M,Analyst,25,46941,Marketing,23,7,3,1,01-07-2016
KORY,ALEGRIA,M,Analyst,22,47734,Marketing,28,2,5,0,01-07-2016
NETTIE,ANDRADA,F,Analyst,23,40541,Operations,15,15,5,1,01-07-2016
WENDI,APPERT,F,Analyst,25,43920,Web,28,,2,2,01-07-2016
BRENT,ABRIL,M,Analyst,21,45832,Management,28,2,2,0,01-07-2016
HARRIETTE,ARMSTRONG,F,Analyst,23,48102,Marketing,17,13,2,0,01-07-2016
GARLAND,AGLER,M,Analyst,21,48662,Management,30,0,5,0,01-07-2016
OSWALDO,ALLENBAUGH,M,Analyst,25,49685,Operations,15,15,2,1,01-07-2016
SEYMOUR,ALBEN,M,Senior Analyst,25,57488,Operations,25,5,3,0,01-07-2016
ROXANNE,AMRINE,F,Analyst,21,45410,Marketing,29,1,2,0,01-07-2016
