"first_name","last_name","sex","designation","age","salary","unit","leaves_used","leaves_remaining","ratings","past_exp","curr_date"
"TOMASA","ARMEN","F","Analyst",21,44570,"Finance",24,6,2,0,"2016-07-01"
"ANNIE",NULL,"F","Associate",NULL,89207,"Web",NULL,13,NULL,7,"2016-07-01"
"OLIVE","ANCY","F","Analyst",21,40955,"Finance",23,7,3,0,"2016-07-01"
"CHERRY","AQUILAR","F","Analyst",22,45550,"IT",22,8,3,0,"2016-07-01"
"LEON","ABOULAHOUD","M","Analyst",NULL,43161,"Operations",27,3,NULL,3,"2016-07-01"
"VICTORIA",NULL,"F","Analyst",22,48736,"Marketing",20,10,4,0,"2016-07-01"
"ELLIOT","AGULAR","M","Analyst",22,40339,"Marketing",19,11,5,0,"2016-07-01"
"JACQUES","AKMAL","M","Analyst",NULL,40058,"Marketing",29,1,2,2,"2016-07-01"
"KATHY","ALSOP","F","Senior Analyst",28,63478,"Operations",20,10,3,1,"2016-07-01"
"LILIAN","APELA","F","Analyst",22,43110,"Finance",15,15,3,0,"2016-07-01"
"BELLE","ARDS","F","Analyst",24,41590,"Marketing",22,8,4,1,"2016-07-01"
"VIRGIL","ACKIES","M","Senior Manager",36,160613,"Finance",NULL,11,2,9,"2016-07-01"
"WELDON","AIVAO","M","Analyst",24,44828,"Finance",15,15,5,1,"2016-07-01"
"BOYD","AFTON","M","Analyst",21,45830,"Web",23,7,2,0,"2016-07-01"
"BART","AGUILLERA","M","Analyst",24,43457,"Management",30,0,4,1,"2016-07-01"
"CORINNE","ANDRZEJCZYK","F","Analyst",21,44812,"IT",16,NULL,5,0,"2016-07-01"
"ALONZO","ADSIDE","M","Analyst",25,47636,"Finance",27,3,3,2,"2016-07-01"
"ROYCE","AGOSTO","M","Analyst",24,48651,"Web",27,3,5,1,"2016-07-01"
"BURTON","AGUILER","M","Analyst",23,40411,"Management",21,9,3,0,"2016-07-01"
"PHILLIP","ABDULA","M","Analyst",24,44665,"Web",NULL,12,5,0,"2016-07-01"
"ORVILLE","ADNEY","M","Analyst",25,46941,"Marketing",23,7,3,1,"2016-07-01"
"KORY","ALEGRIA","M","Analyst",22,47734,"Marketing",28,2,5,0,"2016-07-01"
"NETTIE","ANDRADA","F","Analyst",23,40541,"Operations",15,15,5,1,"2016-07-01"
"WENDI","APPERT","F","Analyst",25,43920,"Web",28,NULL,2,2,"2016-07-01"
"BRENT","ABRIL","M","Analyst",21,45832,"Management",28,2,2,0,"2016-07-01"
"HARRIETTE","ARMSTRONG","F","Analyst",23,48102,"Marketing",17,13,2,0,"2016-07-01"
"GARLAND","AGLER","M","Analyst",21,48662,"Management",30,0,5,0,"2016-07-01"
"OSWALDO","ALLENBAUGH","M","Analyst",25,49685,"Operations",15,15,2,1,"2016-07-01"
"SEYMOUR","ALBEN","M","Senior Analyst",25,57488,"Operations",25,5,3,0,"2016-07-01"
"ROXANNE","AMRINE","F","Analyst",21,45410,"Marketing",29,1,2,0,"2016-07-01"
"CLAUD","ALLATEEF","M","Analyst",21,43030,"Management",22,8,5,0,"2016-07-01"
"MARIANNA","ARGENTIERI","F","Analyst",22,42388,"Management",30,0,5,0,"2016-07-01"
"FOSTER","ALDERMAN","M","Senior Analyst",26,68295,"Operations",28,2,5,3,"2016-07-01"
"MAUDIE","ARENIVAR","F","Associate",29,73397,"Web",30,0,5,2,"2016-07-01"
"TORI","ARCE","F","Analyst",22,47008,"Management",27,3,2,0,"2016-07-01"
"KELLEY","ALLAM","M","Analyst",23,49898,"Marketing",19,11,5,1,"2016-07-01"
"HILLARY","ANTONIA","F","Analyst",23,45389,"Management",27,3,2,1,"2016-07-01"
"MICKEY","AGRAMONTE","M","Analyst",22,49326,"Web",29,1,3,0,"2016-07-01"
"ROSIE","AMILL","F","Analyst",24,49901,"Web",24,6,4,0,"2016-07-01"
"GAVIN","AINI","M","Analyst",24,42529,"IT",23,7,2,2,"2016-07-01"
"ANNABELLE","ANTROBUS","F","Analyst",25,44448,"Finance",25,5,5,2,"2016-07-01"
"CHRISTINE","ALPHONSE","F","Senior Manager",39,175497,"Marketing",30,0,4,13,"2016-07-01"
"MELODIE","ARMENT","F","Analyst",25,47739,"IT",21,9,4,2,"2016-07-01"
"MICHELL","ARCH","F","Analyst",25,49046,"Web",25,5,4,2,"2016-07-01"
"ANDREW","ABALOZ","M","Analyst",25,47961,"Operations",20,10,3,2,"2016-07-01"
"LUCRETIA","ARGYLE","F","Associate",29,96378,"Operations",23,7,2,5,"2016-07-01"
"JODY","ADOLFO","M","Associate",32,76411,"IT",16,14,4,9,"2016-07-01"
"GILDA","ARANCIBIA","F","Analyst",23,40264,"Web",24,6,2,0,"2016-07-01"
"JOSPEH","ALLIS","M","Analyst",22,45364,"Web",20,10,2,0,"2016-07-01"
"KING","ALIMENT","M","Analyst",22,42013,"Web",27,3,4,0,"2016-07-01"
"KURT","ACEVEDO","M","Analyst",25,42362,"Marketing",24,6,5,2,"2016-07-01"
"LYNNETTE","APRUZZESE","F","Analyst",25,44620,"Finance",26,4,5,2,"2016-07-01"
"DANIELA","ARIAIL","F","Analyst",23,43285,"Operations",23,7,5,1,"2016-07-01"
"CARI","ARENALES","F","Senior Analyst",28,66338,"Web",24,6,3,5,"2016-07-01"
"ANGELITA","ARAGUS","F","Analyst",25,46436,"IT",27,3,4,2,"2016-07-01"
"ISABELLE","ANGERMAN","F","Analyst",24,49705,"Management",28,2,3,0,"2016-07-01"
"NORBERT","AHALT","M","Analyst",21,40095,"Management",19,11,3,0,"2016-07-01"
"PAULINE","ALTSHULER","F","Senior Analyst",28,61647,"Finance",28,2,4,3,"2016-07-01"
"JANETTE","ANEZ","F","Analyst",21,42811,"Marketing",22,8,3,0,"2016-07-01"
"CHARLENE","AMANO","F","Analyst",25,47365,"Finance",15,15,2,2,"2016-07-01"
"HOWARD","ABDELWAHED","M","Analyst",22,45721,"Operations",18,12,5,0,"2016-07-01"
"PAUL","AANENSON","M","Analyst",25,49976,"Web",25,5,2,1,"2016-07-01"
"CORTEZ","ALLINDER","M","Analyst",21,42650,"Marketing",21,9,2,0,"2016-07-01"
"AHMAD","ALCANTARA","M","Analyst",25,44632,"Management",27,3,3,3,"2016-07-01"
"JONAH","ALEWINE","M","Analyst",25,48389,"Operations",15,15,3,3,"2016-07-01"
"DARIN","AFABLE","M","Analyst",21,48665,"Operations",18,12,2,0,"2016-07-01"
"ALONSO","ALMANZA","M","Associate",31,72886,"Management",21,9,4,6,"2016-07-01"
"RENE","ANKLAM","F","Analyst",21,45225,"IT",28,2,5,0,"2016-07-01"
"RILEY","AIKINS","M","Senior Analyst",25,60712,"Finance",26,4,4,0,"2016-07-01"
"WYATT","ALBERTS","M","Analyst",24,41290,"Operations",17,13,3,1,"2016-07-01"
"KIMBERLEE","ARCIGA","F","Analyst",21,44993,"IT",18,12,2,0,"2016-07-01"
"KRISTA","AMRICH","F","Analyst",24,46118,"IT",22,8,4,1,"2016-07-01"
"MARYJANE","ARES","F","Senior Analyst",25,65212,"Management",29,1,5,1,"2016-07-01"
"SAVANNAH","APREA","F","Senior Manager",38,193621,"Operations",19,11,4,9,"2016-07-01"
"NATALIE","AMALONG","F","Analyst",23,44223,"Marketing",19,11,2,0,"2016-07-01"
"MARY","ALMESTICA","F","Senior Analyst",27,53339,"Finance",26,4,2,1,"2016-07-01"
"KAYLA","AMLIN","F","Analyst",24,43638,"Web",29,1,3,1,"2016-07-01"
"JULIAN","ACKERLEY","M","Analyst",22,44963,"Marketing",21,9,2,0,"2016-07-01"
"JO","AMBLER","F","Analyst",21,42686,"Marketing",22,8,3,0,"2016-07-01"
"KASEY","APFEL","F","Analyst",21,40381,"Web",22,8,2,0,"2016-07-01"
"IONA","ARGALL","F","Analyst",21,48461,"Finance",15,15,5,0,"2016-07-01"
"ALBERTA","AMIS","F","Analyst",25,46584,"Marketing",18,12,4,1,"2016-07-01"
"WILMER","AKIONA","M","Senior Analyst",25,50739,"IT",25,5,3,0,"2016-07-01"
"MELVIN","ABERNATHA","M","Associate",31,82083,"Management",17,13,3,5,"2016-07-01"
"CORA","AMESQUITA","F","Analyst",23,40324,"Operations",27,3,2,1,"2016-07-01"
"EVERETT","ACHILLES","M","Analyst",23,44001,"Management",26,4,3,1,"2016-07-01"
"DOTTIE","ARDREY","F","Analyst",22,43059,"Management",30,0,3,0,"2016-07-01"
"CORINE","APAEZ","F","Analyst",24,41685,"Finance",30,0,2,2,"2016-07-01"
"DARIO","ALESSI","M","Associate",28,95982,"Operations",26,4,4,0,"2016-07-01"
"HILDA","AMBROSIUS","F","Analyst",23,44699,"Management",26,4,3,0,"2016-07-01"
"ELOISA","ARGIE","F","Senior Analyst",28,52690,"Marketing",30,0,5,3,"2016-07-01"
"HEIDI","AMAZAN","F","Analyst",21,40041,"Management",18,12,4,0,"2016-07-01"
"KATELYN","APPENZELLER","F","Senior Analyst",28,56314,"Finance",16,14,5,3,"2016-07-01"
"WILLIS","ADAN","M","Analyst",25,49785,"Operations",26,4,3,2,"2016-07-01"
"RUTH","ALO","F","Analyst",24,41284,"Web",29,1,5,1,"2016-07-01"
"JOSEFA","APPLEWHAITE","F","Analyst",22,40562,"Finance",26,4,5,0,"2016-07-01"
"OSCAR","ABLING","M","Analyst",22,46741,"Operations",30,0,2,0,"2016-07-01"
"ROOSEVELT","ADES","M","Analyst",24,45100,"Operations",28,2,2,1,"2016-07-01"
"MARVIN","ABELS","M","Analyst",22,41712,"IT",23,7,5,0,"2016-07-01"
"MARCELLA","AMY","F","Analyst",24,47069,"Operations",20,10,4,1,"2016-07-01"
"KARL","ACCETTURO","M","Analyst",25,40460,"Web",28,2,3,1,"2016-07-01"
"WALTER","ABATE","M","Analyst",24,47068,"Finance",28,2,4,0,"2016-07-01"
"ELIZA","ANSBACHER","F","Senior Analyst",25,50813,"Marketing",26,4,2,0,"2016-07-01"
"YONG","ALDERFER","M","Manager",33,129191,"Operations",22,8,4,3,"2016-07-01"
"CARI","ARENALES","F","Senior Analyst",28,66338,"Web",24,6,3,5,"2016-07-01"
"ALVA","ALAMPI","M","Analyst",24,46749,"Operations",28,2,5,2,"2016-07-01"
"REINA","ARMAGOST","F","Manager",33,108665,"Finance",15,15,2,6,"2016-07-01"
"ERICKA","ANTHONY","F","Associate",32,76964,"Management",23,7,5,5,"2016-07-01"
"LUIGI","ALLYNE","M","Analyst",24,47417,"Marketing",21,9,3,1,"2016-07-01"
"JEFFEREY","ALEXY","M","Analyst",21,47669,"IT",25,5,5,0,"2016-07-01"
"ROBERT","ARCAND","F","Analyst",21,40318,"Finance",20,10,3,0,"2016-07-01"
"HAYWOOD","ALKINS","M","Analyst",23,46743,"IT",17,13,2,0,"2016-07-01"
"STAN","AGRESTO","M","Analyst",25,40060,"Management",20,10,2,2,"2016-07-01"
"BETTIE","ANDUJAR","F","Analyst",25,46129,"Management",20,10,3,2,"2016-07-01"
"ALLAN","ACEVES","M","Senior Manager",38,189435,"Marketing",19,11,4,10,"2016-07-01"
"ELEANORE","ARENA","F","Senior Analyst",26,62537,"Management",27,3,2,0,"2016-07-01"
"ERIC","ABAJIAN","M","Analyst",24,44145,"Management",17,13,5,1,"2016-07-01"
"LEIGH","ANAWALT","F","Analyst",22,47998,"Marketing",23,7,5,0,"2016-07-01"
"ARON","ALBOR","M","Analyst",25,49310,"Marketing",16,14,2,2,"2016-07-01"
"KAREN","ALMSTEAD","F","Analyst",24,49235,"Management",17,13,4,1,"2016-07-01"
"KENDRICK","AHIMUD","M","Senior Analyst",26,68245,"Finance",26,4,3,0,"2016-07-01"
"LAKESHA","ARDEN","F","Analyst",23,47498,"Finance",25,5,5,1,"2016-07-01"
"JUNIOR","AGORAS","M","Analyst",25,40636,"Finance",26,4,4,3,"2016-07-01"
"ERNESTINE","AMUSO","F","Analyst",25,45233,"Operations",25,5,4,1,"2016-07-01"
"TERESITA","ARENTZ","F","Senior Analyst",27,53275,"Finance",16,14,4,4,"2016-07-01"
"ESTHER","ALTSCHULER","F","Analyst",24,43540,"Web",17,13,5,1,"2016-07-01"
"BERRY","ALDONZA","M","Analyst",21,40275,"Management",30,0,5,0,"2016-07-01"
"WENDELL","ACREE","M","Analyst",21,44361,"Web",28,2,5,0,"2016-07-01"
"RUBEN","ABSHEAR","M","Analyst",25,41936,"Web",16,14,2,1,"2016-07-01"
"PATTIE","ARGUIN","F","Analyst",21,45830,"Finance",25,5,5,0,"2016-07-01"
"ISABEL","AMICI","F","Analyst",23,44521,"Web",28,2,3,0,"2016-07-01"
"BRODERICK","ALMERICO","M","Analyst",22,45997,"Management",18,12,3,0,"2016-07-01"
"JEREMY","ABDELLA","M","Analyst",25,44218,"Finance",19,11,2,2,"2016-07-01"
"KELLI","AMORIELLO","F","Manager",35,140926,"Finance",28,2,2,12,"2016-07-01"
"MARIETTA","APPLEBAUM","F","Analyst",21,48886,"Operations",23,7,3,0,"2016-07-01"
"CHADWICK","ALATOSSE","M","Analyst",23,49081,"Operations",26,4,3,1,"2016-07-01"
"NONA","APODACA","F","Analyst",23,42195,"Operations",28,2,2,0,"2016-07-01"
"JON","ABOLT","M","Senior Analyst",25,50130,"Marketing",22,8,3,0,"2016-07-01"
"JORDON","ALLARA","M","Senior Analyst",25,55472,"Finance",30,0,3,0,"2016-07-01"
"LAWRENCE","ABBOT","M","Analyst",25,43269,"Operations",17,13,5,1,"2016-07-01"
"LEANNE","ANNABEL","F","Analyst",22,43712,"Operations",17,13,2,0,"2016-07-01"
"LES","ALCIVAR","M","Analyst",25,42377,"Marketing",24,6,5,3,"2016-07-01"
"DEIDRA","ARCHANGEL","F","Senior Analyst",28,69316,"Operations",24,6,3,0,"2016-07-01"
"GERI","ARDENEAUX","F","Analyst",23,46418,"Marketing",29,1,2,0,"2016-07-01"
"MANUAL","ALLFORD","M","Senior Analyst",28,65566,"Marketing",17,13,3,5,"2016-07-01"
"CELESTINE","ARGIRO","F","Analyst",24,48976,"Finance",25,5,2,1,"2016-07-01"
"JAVIER","ACEDO","M","Analyst",23,43760,"Marketing",24,6,4,0,"2016-07-01"
"CAREN","ARGO","F","Analyst",22,41047,"Operations",21,9,4,0,"2016-07-01"
"DEBBIE","ALUARADO","F","Analyst",25,43225,"Operations",30,0,2,2,"2016-07-01"
"MICHAEL","AAGAARD","M","Analyst",22,42361,"Marketing",25,5,2,0,"2016-07-01"
"MARLENE","AMAYA","F","Analyst",22,43835,"Management",26,4,4,0,"2016-07-01"
"HESTER","ARAGAO","F","Analyst",25,47326,"Operations",24,6,5,2,"2016-07-01"
"ULYSSES","AILTS","M","Senior Analyst",25,61221,"Marketing",19,11,3,0,"2016-07-01"
